epic_id,epic_name,capability_id,team,owner,priority,story_points,start_date,planned_end_date,actual_end_date,cycle_time_days,status,days_in_current_status,defect_count
EPIC-00015,Automate Diagnostics service,CAP-0002,Team Orion,S. Rai,P2,8,2025-09-03,2025-10-13,,50,Blocked,5,2
EPIC-00016,Automate Diagnostics endpoint,CAP-0002,Team Nova,D. Singh,P3,8,2025-09-14,2025-11-01,,60,In Review,6,3
EPIC-00017,Integrate Diagnostics endpoint,CAP-0002,Team Vega,L. Nguyen,P3,13,2025-09-22,2025-10-30,2025-11-08,47,Done,1,1
EPIC-00018,Integrate Diagnostics event consumer,CAP-0002,Team Draco,L. Nguyen,P0,13,2025-10-08,2025-12-02,,60,Not Started,3,3
EPIC-00019,Decommission Diagnostics ingestion job,CAP-0002,Team Atlas,M. Patel,P0,13,2025-08-17,2025-10-16,2025-10-31,75,Done,14,1
EPIC-00020,Refactor Diagnostics auth flow,CAP-0002,Team Lyra,D. Singh,P2,13,2025-09-30,2025-11-08,,48,In Review,14,0
EPIC-00021,Decommission Routing service,CAP-0003,Team Phoenix,J. Chen,P3,3,2025-10-07,2025-11-30,,56,In Progress,12,4
EPIC-00022,Build Routing endpoint,CAP-0003,Team Atlas,S. Rai,P2,8,2025-11-05,2025-12-08,,35,In Review,13,0
EPIC-00023,Build Routing endpoint,CAP-0003,Team Cygnus,J. Chen,P3,21,2025-10-07,2025-11-23,,47,In Progress,3,1
EPIC-00024,Build Routing auth flow,CAP-0003,Team Vega,S. Rai,P3,8,2025-10-01,2025-10-29,2025-10-29,28,Done,5,2
EPIC-00025,Implement Routing ingestion job,CAP-0003,Team Orion,R. Kumar,P3,8,2025-11-21,2025-12-27,2025-12-30,39,Done,12,2
EPIC-00026,Build Routing event consumer,CAP-0003,Team Vega,R. Kumar,P2,3,2025-10-22,2025-11-11,,19,In Review,10,4
EPIC-00027,Refactor Routing service,CAP-0003,Team Draco,P. Wong,P2,5,2025-10-28,2025-12-24,,60,Blocked,12,0
EPIC-00028,Migrate Routing batch job,CAP-0003,Team Cygnus,S. Rai,P2,13,2025-10-04,2025-11-26,,52,Not Started,11,1
EPIC-00029,Decommission Routing dashboard,CAP-0003,Team Phoenix,D. Singh,P1,5,2025-11-07,2025-11-29,,21,In Review,12,4
EPIC-00030,Automate Routing auth flow,CAP-0003,Team Orion,P. Wong,P2,8,2025-11-17,2025-12-24,,38,In Progress,5,2
EPIC-00031,Build Routing service,CAP-0003,Team Atlas,J. Chen,P3,3,2025-10-01,2025-10-29,,30,Blocked,6,3
EPIC-00032,Decommission Routing service,CAP-0003,Team Lyra,L. Nguyen,P0,5,2025-10-21,2025-11-27,,38,Blocked,7,2
EPIC-00033,Decommission Inventory auth flow,CAP-0004,Team Phoenix,P. Wong,P2,13,2025-09-08,2025-10-31,,66,Not Started,11,2
EPIC-00034,Migrate Inventory service,CAP-0004,Team Atlas,A. Johnson,P1,13,2025-10-18,2025-11-03,,15,Not Started,2,3
EPIC-00035,Refactor Inventory batch job,CAP-0004,Team Nova,M. Patel,P3,3,2025-10-18,2025-12-15,,63,Blocked,12,3
EPIC-00036,Decommission Inventory ingestion job,CAP-0004,Team Nova,P. Wong,P1,8,2025-10-18,2025-11-18,,29,In Progress,8,2
EPIC-00037,Integrate Inventory dashboard,CAP-0004,Team Atlas,R. Kumar,P1,3,2025-09-22,2025-11-16,,68,Not Started,7,2
EPIC-00038,Implement Inventory batch job,CAP-0004,Team Nova,L. Nguyen,P1,5,2025-09-01,2025-10-26,,68,Not Started,1,4
EPIC-00039,Implement Inventory event consumer,CAP-0004,Team Vega,M. Patel,P0,8,2025-10-06,2025-11-24,,48,In Progress,6,1
EPIC-00040,Migrate Inventory auth flow,CAP-0004,Team Orion,S. Rai,P2,5,2025-09-04,2025-09-29,,31,Not Started,3,0
EPIC-00041,Implement Inventory endpoint,CAP-0004,Team Cygnus,J. Chen,P0,13,2025-09-04,2025-09-21,2025-09-25,21,Done,9,1
EPIC-00042,Automate Inventory dashboard,CAP-0004,Team Nova,A. Johnson,P0,21,2025-09-20,2025-11-10,2025-11-22,63,Done,9,0
EPIC-00043,Build Inventory batch job,CAP-0004,Team Lyra,J. Chen,P3,13,2025-08-20,2025-09-06,2025-09-10,21,Done,7,3
EPIC-00044,Refactor Notification auth flow,CAP-0005,Team Atlas,L. Nguyen,P3,21,2025-09-28,2025-10-16,,22,In Review,10,1
EPIC-00045,Build Notification auth flow,CAP-0005,Team Lyra,A. Johnson,P3,13,2025-10-27,2025-12-07,,39,Blocked,12,0
EPIC-00046,Build Notification dashboard,CAP-0005,Team Vega,L. Nguyen,P2,8,2025-11-10,2025-12-23,,43,In Review,7,0
EPIC-00047,Integrate Notification ingestion job,CAP-0005,Team Orion,J. Chen,P2,5,2025-09-23,2025-10-12,,23,Not Started,7,0
EPIC-00048,Decommission Notification auth flow,CAP-0005,Team Phoenix,D. Singh,P0,8,2025-10-24,2025-11-28,,36,In Review,14,6
EPIC-00049,Implement Order auth flow,CAP-0006,Team Cygnus,J. Chen,P2,21,2025-05-12,2025-06-08,,26,In Progress,14,3
EPIC-00050,Implement Order event consumer,CAP-0006,Team Cygnus,S. Rai,P2,3,2025-04-27,2025-06-16,,49,Blocked,13,3
EPIC-00051,Refactor Order batch job,CAP-0006,Team Orion,M. Patel,P3,3,2025-05-28,2025-06-30,,35,Not Started,3,2
EPIC-00052,Integrate Order batch job,CAP-0006,Team Orion,P. Wong,P2,5,2025-04-11,2025-04-30,2025-05-01,20,Done,7,1
EPIC-00053,Refactor Order batch job,CAP-0006,Team Cygnus,S. Rai,P0,8,2025-04-30,2025-06-19,,51,In Progress,3,0
EPIC-00054,Integrate Order ingestion job,CAP-0006,Team Nova,J. Chen,P2,13,2025-05-11,2025-07-02,,52,In Progress,13,2
EPIC-00055,Refactor Order batch job,CAP-0006,Team Atlas,D. Singh,P0,3,2025-05-23,2025-07-13,,52,Not Started,4,2
EPIC-00056,Refactor Order endpoint,CAP-0006,Team Vega,S. Rai,P3,13,2025-05-29,2025-06-20,,23,In Review,2,2
EPIC-00057,Build Inventory auth flow,CAP-0007,Team Orion,S. Rai,P3,3,2025-04-10,2025-05-08,,28,Not Started,7,2
EPIC-00058,Implement Inventory event consumer,CAP-0007,Team Nova,J. Chen,P3,3,2025-03-16,2025-05-05,2025-05-05,50,Done,5,3
EPIC-00059,Migrate Inventory event consumer,CAP-0007,Team Cygnus,J. Chen,P1,13,2025-04-25,2025-06-17,,54,Not Started,7,2
EPIC-00060,Decommission Inventory service,CAP-0007,Team Draco,M. Patel,P0,21,2025-03-21,2025-04-23,,35,In Review,13,1
EPIC-00061,Decommission Inventory auth flow,CAP-0007,Team Atlas,M. Patel,P2,5,2025-03-08,2025-04-13,,36,In Progress,2,1
EPIC-00062,Decommission Inventory endpoint,CAP-0007,Team Orion,P. Wong,P2,8,2025-04-13,2025-06-07,2025-06-04,52,Done,13,3
EPIC-00063,Implement Order ingestion job,CAP-0008,Team Nova,S. Rai,P2,21,2025-07-01,2025-08-24,,67,In Review,10,2
EPIC-00064,Refactor Order ingestion job,CAP-0008,Team Atlas,R. Kumar,P0,3,2025-07-01,2025-07-17,,20,In Review,14,0
EPIC-00065,Build Order auth flow,CAP-0008,Team Draco,A. Johnson,P2,21,2025-07-08,2025-07-24,,20,Blocked,11,3
EPIC-00066,Decommission Order endpoint,CAP-0008,Team Nova,M. Patel,P0,5,2025-06-06,2025-07-18,,40,Not Started,9,2
EPIC-00067,Build Order auth flow,CAP-0008,Team Nova,R. Kumar,P3,13,2025-07-06,2025-08-28,,66,In Review,6,1
EPIC-00068,Integrate Order auth flow,CAP-0008,Team Cygnus,D. Singh,P2,8,2025-06-06,2025-07-30,,56,In Review,2,0
EPIC-00069,Implement API auth flow,CAP-0009,Team Cygnus,J. Chen,P2,21,2025-03-29,2025-04-21,2025-04-23,25,Done,3,2
EPIC-00070,Integrate API event consumer,CAP-0009,Team Draco,D. Singh,P2,3,2025-03-08,2025-03-30,,23,In Review,36,4
EPIC-00071,Refactor API endpoint,CAP-0009,Team Cygnus,M. Patel,P0,8,2025-04-16,2025-05-13,,27,In Review,19,3
EPIC-00072,Decommission API event consumer,CAP-0009,Team Atlas,D. Singh,P1,5,2025-03-21,2025-05-07,,44,Blocked,3,2
EPIC-00073,Automate API batch job,CAP-0009,Team Orion,L. Nguyen,P1,13,2025-04-05,2025-05-28,,56,Not Started,7,1
EPIC-00074,Automate API batch job,CAP-0009,Team Lyra,P. Wong,P1,8,2025-04-06,2025-05-18,,41,In Review,40,1
EPIC-00075,Automate Routing dashboard,CAP-0010,Team Nova,A. Johnson,P1,8,2025-06-04,2025-07-12,,38,In Progress,14,3
EPIC-00076,Integrate Routing ingestion job,CAP-0010,Team Phoenix,J. Chen,P2,3,2025-06-10,2025-07-17,,38,Blocked,14,0
EPIC-00077,Refactor Routing ingestion job,CAP-0010,Team Orion,P. Wong,P2,3,2025-06-12,2025-07-28,,44,Not Started,4,3
EPIC-00078,Implement Routing ingestion job,CAP-0010,Team Draco,S. Rai,P2,3,2025-05-18,2025-06-24,,36,In Review,4,0
EPIC-00079,Automate Routing endpoint,CAP-0010,Team Cygnus,P. Wong,P3,21,2025-04-24,2025-05-10,,15,In Progress,13,3
EPIC-00080,Implement Routing service,CAP-0010,Team Phoenix,D. Singh,P0,8,2025-05-02,2025-05-29,,29,Blocked,9,8
EPIC-00081,Refactor Routing service,CAP-0010,Team Vega,J. Chen,P3,21,2025-04-19,2025-05-18,2025-05-18,29,Done,2,4
EPIC-00082,Integrate Routing auth flow,CAP-0010,Team Phoenix,L. Nguyen,P1,21,2025-05-22,2025-06-20,2025-06-21,30,Done,1,4
EPIC-00083,Migrate Routing batch job,CAP-0010,Team Draco,S. Rai,P3,13,2025-05-28,2025-06-16,,19,Not Started,9,2
EPIC-00084,Integrate Routing ingestion job,CAP-0010,Team Phoenix,A. Johnson,P0,21,2025-05-09,2025-06-08,,31,Not Started,6,4
EPIC-00085,Migrate Routing service,CAP-0010,Team Cygnus,P. Wong,P1,5,2025-05-08,2025-06-25,2025-06-25,48,Done,12,1
EPIC-00086,Implement Notification dashboard,CAP-0011,Team Nova,D. Singh,P3,8,2025-05-19,2025-06-04,,17,In Review,5,0
EPIC-00087,Automate Notification batch job,CAP-0011,Team Phoenix,J. Chen,P2,13,2025-05-19,2025-06-20,,32,In Review,5,0
EPIC-00088,Integrate Notification ingestion job,CAP-0011,Team Draco,P. Wong,P2,21,2025-07-03,2025-08-10,,47,In Progress,8,2
EPIC-00089,Automate Notification service,CAP-0011,Team Lyra,R. Kumar,P2,3,2025-06-22,2025-08-02,,39,In Progress,9,4
EPIC-00090,Refactor Notification batch job,CAP-0011,Team Atlas,P. Wong,P2,13,2025-05-25,2025-06-27,,33,In Progress,12,3
EPIC-00091,Decommission Provisioning ingestion job,CAP-0012,Team Cygnus,D. Singh,P2,21,2025-03-10,2025-05-03,,59,Not Started,11,0
EPIC-00092,Implement Provisioning endpoint,CAP-0012,Team Orion,J. Chen,P1,8,2025-04-16,2025-06-07,,54,Not Started,3,3
EPIC-00093,Build Provisioning auth flow,CAP-0012,Team Cygnus,P. Wong,P0,21,2025-02-23,2025-04-16,,50,In Review,6,3
EPIC-00094,Decommission Provisioning dashboard,CAP-0012,Team Orion,M. Patel,P3,21,2025-03-18,2025-04-21,,35,Not Started,1,1
EPIC-00095,Refactor Telemetry event consumer,CAP-0013,Team Atlas,P. Wong,P1,3,2025-04-25,2025-06-23,,59,In Review,12,4
EPIC-00096,Automate Telemetry service,CAP-0013,Team Orion,L. Nguyen,P2,3,2025-05-07,2025-06-01,,27,Not Started,13,3
EPIC-00097,Refactor Telemetry event consumer,CAP-0013,Team Lyra,A. Johnson,P0,5,2025-04-19,2025-06-17,,62,In Review,9,1
EPIC-00098,Migrate Telemetry event consumer,CAP-0013,Team Orion,M. Patel,P0,3,2025-05-10,2025-05-25,,15,In Review,8,4
EPIC-00099,Build Telemetry batch job,CAP-0013,Team Lyra,M. Patel,P2,3,2025-05-25,2025-07-08,,45,Blocked,2,3
EPIC-00100,Build Telemetry batch job,CAP-0013,Team Nova,M. Patel,P3,21,2025-05-12,2025-06-17,,34,Blocked,3,4
EPIC-00101,Automate Telemetry service,CAP-0013,Team Phoenix,A. Johnson,P2,21,2025-05-12,2025-06-04,,22,In Review,12,2
EPIC-00102,Automate Telemetry service,CAP-0013,Team Lyra,R. Kumar,P0,21,2025-04-25,2025-05-21,,27,In Review,3,4
EPIC-00103,Decommission Telemetry auth flow,CAP-0013,Team Orion,S. Rai,P0,3,2025-04-18,2025-05-12,,25,In Review,14,4
EPIC-00104,Integrate Telemetry event consumer,CAP-0013,Team Phoenix,S. Rai,P3,21,2025-05-15,2025-06-14,2025-06-15,31,Done,10,8
EPIC-00105,Build Order endpoint,CAP-0014,Team Lyra,S. Rai,P1,13,2025-03-24,2025-05-20,,57,Not Started,12,3
EPIC-00106,Build Order ingestion job,CAP-0014,Team Draco,L. Nguyen,P3,5,2025-02-14,2025-03-21,,36,In Review,12,2
EPIC-00107,Decommission Order auth flow,CAP-0014,Team Cygnus,A. Johnson,P1,3,2025-02-07,2025-03-13,,33,In Review,8,0
EPIC-00108,Refactor Order ingestion job,CAP-0014,Team Phoenix,L. Nguyen,P1,5,2025-03-28,2025-05-20,,53,In Review,10,2
EPIC-00109,Decommission Order ingestion job,CAP-0014,Team Nova,P. Wong,P1,5,2025-03-04,2025-04-06,2025-04-06,33,Done,9,0
EPIC-00110,Implement Order service,CAP-0014,Team Cygnus,S. Rai,P0,13,2025-02-19,2025-04-05,,46,In Review,9,3
EPIC-00111,Refactor Order batch job,CAP-0014,Team Orion,A. Johnson,P2,21,2025-02-24,2025-04-04,,39,Not Started,10,3
EPIC-00112,Implement Order ingestion job,CAP-0014,Team Lyra,J. Chen,P1,3,2025-03-05,2025-04-16,,44,Blocked,11,2
EPIC-00113,Automate Telemetry dashboard,CAP-0015,Team Cygnus,D. Singh,P0,3,2025-04-04,2025-05-11,,39,Blocked,9,1
EPIC-00114,Migrate Telemetry batch job,CAP-0015,Team Phoenix,M. Patel,P2,21,2025-03-21,2025-05-04,,45,Blocked,9,2
EPIC-00115,Migrate Telemetry ingestion job,CAP-0015,Team Cygnus,P. Wong,P2,13,2025-04-08,2025-05-11,,34,Blocked,9,4
EPIC-00116,Refactor Telemetry dashboard,CAP-0015,Team Phoenix,S. Rai,P3,8,2025-04-12,2025-05-03,,23,In Review,13,8
EPIC-00117,Integrate Telemetry service,CAP-0015,Team Vega,A. Johnson,P0,21,2025-04-06,2025-05-20,2025-05-18,42,Done,3,4
EPIC-00118,Migrate Telemetry service,CAP-0015,Team Atlas,P. Wong,P0,5,2025-03-28,2025-05-01,,34,In Progress,7,3
EPIC-00119,Decommission Telemetry dashboard,CAP-0015,Team Vega,L. Nguyen,P2,8,2025-04-11,2025-05-25,,45,In Progress,8,2
EPIC-00120,Migrate Telemetry endpoint,CAP-0015,Team Nova,A. Johnson,P3,8,2025-03-17,2025-05-05,,48,In Review,12,2
EPIC-00121,Refactor Telemetry auth flow,CAP-0015,Team Nova,D. Singh,P3,8,2025-04-28,2025-06-27,,59,Blocked,11,0
EPIC-00122,Refactor Telemetry service,CAP-0015,Team Orion,P. Wong,P1,5,2025-03-18,2025-05-16,,56,In Review,12,3
EPIC-00123,Decommission Activation batch job,CAP-0016,Team Lyra,S. Rai,P1,5,2025-03-13,2025-04-04,,21,In Progress,4,4
EPIC-00124,Implement Activation ingestion job,CAP-0016,Team Phoenix,M. Patel,P3,13,2025-03-17,2025-05-15,,60,Not Started,9,2
EPIC-00125,Integrate Activation endpoint,CAP-0016,Team Nova,A. Johnson,P0,5,2025-04-13,2025-05-15,,31,Not Started,11,0
EPIC-00126,Automate Activation endpoint,CAP-0016,Team Draco,R. Kumar,P0,3,2025-04-24,2025-05-10,2025-05-11,17,Done,3,3
EPIC-00127,Decommission Activation auth flow,CAP-0016,Team Lyra,M. Patel,P3,8,2025-03-02,2025-04-06,,34,Blocked,8,4
EPIC-00128,Automate Activation service,CAP-0016,Team Vega,L. Nguyen,P2,21,2025-03-17,2025-04-10,,25,In Progress,1,2
EPIC-00129,Migrate Activation auth flow,CAP-0016,Team Vega,J. Chen,P3,3,2025-04-19,2025-06-12,,58,Blocked,6,3
EPIC-00130,Migrate Activation ingestion job,CAP-0016,Team Orion,R. Kumar,P2,8,2025-03-16,2025-04-14,,27,In Progress,8,3
EPIC-00131,Refactor Activation batch job,CAP-0016,Team Phoenix,M. Patel,P3,21,2025-03-19,2025-05-16,2025-05-15,57,Done,5,0
EPIC-00132,Integrate Activation service,CAP-0016,Team Lyra,P. Wong,P1,13,2025-04-05,2025-05-07,,32,In Progress,3,1
EPIC-00133,Build Activation batch job,CAP-0016,Team Cygnus,J. Chen,P3,21,2025-03-31,2025-05-14,,46,In Progress,11,1
EPIC-00134,Implement Activation auth flow,CAP-0016,Team Cygnus,M. Patel,P1,8,2025-03-03,2025-03-20,,18,In Progress,10,4
EPIC-00135,Implement Provisioning batch job,CAP-0017,Team Nova,S. Rai,P3,5,2025-05-01,2025-06-29,,61,Blocked,8,0
EPIC-00136,Build Provisioning auth flow,CAP-0017,Team Draco,R. Kumar,P0,5,2025-04-21,2025-06-09,,49,Not Started,7,2
EPIC-00137,Implement Provisioning ingestion job,CAP-0017,Team Atlas,S. Rai,P2,13,2025-05-10,2025-07-07,,55,Not Started,8,0
EPIC-00138,Automate Provisioning endpoint,CAP-0017,Team Orion,P. Wong,P3,13,2025-06-06,2025-07-31,,60,In Review,7,3
EPIC-00139,Integrate Provisioning batch job,CAP-0017,Team Atlas,D. Singh,P1,5,2025-06-12,2025-07-30,,46,Not Started,3,2
EPIC-00140,Automate Provisioning service,CAP-0017,Team Phoenix,D. Singh,P1,5,2025-05-07,2025-06-19,2025-06-21,45,Done,9,8
EPIC-00141,Refactor Provisioning endpoint,CAP-0017,Team Nova,D. Singh,P0,5,2025-05-05,2025-05-31,,28,Not Started,13,0
EPIC-00142,Implement Provisioning service,CAP-0017,Team Vega,S. Rai,P3,13,2025-05-26,2025-06-11,,16,In Progress,12,0
EPIC-00143,Decommission Provisioning endpoint,CAP-0017,Team Vega,L. Nguyen,P2,5,2025-06-05,2025-06-22,,16,In Progress,14,2
EPIC-00144,Migrate Provisioning batch job,CAP-0017,Team Lyra,M. Patel,P3,21,2025-05-21,2025-06-18,,28,Not Started,9,2
EPIC-00145,Implement Provisioning dashboard,CAP-0017,Team Nova,D. Singh,P3,5,2025-06-17,2025-08-11,,57,In Review,12,4
EPIC-00146,Build Provisioning endpoint,CAP-0017,Team Lyra,M. Patel,P3,3,2025-06-05,2025-07-23,,49,In Review,14,1
EPIC-00147,Build Settlement auth flow,CAP-0018,Team Draco,J. Chen,P3,8,2025-10-13,2025-11-04,,22,In Progress,6,2
EPIC-00148,Decommission Settlement batch job,CAP-0018,Team Atlas,S. Rai,P0,5,2025-11-02,2025-11-28,,24,Blocked,10,3
EPIC-00149,Build Settlement endpoint,CAP-0018,Team Vega,J. Chen,P3,5,2025-11-04,2025-12-09,,34,In Progress,4,0
EPIC-00150,Build Settlement endpoint,CAP-0018,Team Vega,L. Nguyen,P2,8,2025-10-15,2025-11-18,2025-11-20,36,Done,9,3
EPIC-00151,Decommission Settlement ingestion job,CAP-0018,Team Cygnus,L. Nguyen,P2,13,2025-10-09,2025-10-29,,21,In Review,4,3
EPIC-00152,Decommission Settlement event consumer,CAP-0018,Team Phoenix,D. Singh,P2,5,2025-09-24,2025-10-17,,28,In Review,9,0
EPIC-00153,Refactor Settlement endpoint,CAP-0018,Team Vega,L. Nguyen,P2,13,2025-10-04,2025-11-23,,53,Blocked,11,3
EPIC-00154,Build Settlement endpoint,CAP-0018,Team Nova,S. Rai,P0,3,2025-10-26,2025-12-01,2025-11-30,35,Done,3,4
EPIC-00155,Automate Settlement service,CAP-0018,Team Phoenix,M. Patel,P0,5,2025-10-06,2025-10-28,,23,Not Started,12,2
EPIC-00156,Refactor Settlement service,CAP-0018,Team Nova,P. Wong,P0,3,2025-10-19,2025-12-12,2025-12-14,56,Done,11,4
EPIC-00157,Implement Settlement service,CAP-0018,Team Draco,D. Singh,P1,3,2025-10-13,2025-12-12,,59,Not Started,9,2
EPIC-00158,Decommission Settlement endpoint,CAP-0018,Team Atlas,L. Nguyen,P2,13,2025-09-25,2025-10-21,,32,Blocked,5,4
EPIC-00159,Build API ingestion job,CAP-0019,Team Cygnus,J. Chen,P0,3,2025-11-01,2025-11-30,,31,In Review,11,1
EPIC-00160,Build API ingestion job,CAP-0019,Team Draco,P. Wong,P3,8,2025-10-31,2025-12-14,,42,In Progress,2,0
EPIC-00161,Decommission API service,CAP-0019,Team Atlas,S. Rai,P0,8,2025-10-10,2025-11-06,2025-11-08,29,Done,5,4
EPIC-00162,Migrate API event consumer,CAP-0019,Team Phoenix,D. Singh,P0,8,2025-10-16,2025-10-31,,16,In Progress,13,8
EPIC-00163,Decommission API endpoint,CAP-0019,Team Orion,M. Patel,P0,21,2025-11-01,2025-12-09,,39,In Review,7,4
EPIC-00164,Implement Partner ingestion job,CAP-0020,Team Phoenix,D. Singh,P2,3,2025-08-23,2025-09-10,,22,Blocked,13,4
EPIC-00165,Automate Partner ingestion job,CAP-0020,Team Lyra,D. Singh,P1,21,2025-09-09,2025-10-07,,35,Blocked,7,2
EPIC-00166,Implement Partner event consumer,CAP-0020,Team Draco,R. Kumar,P1,13,2025-09-17,2025-10-19,,40,Not Started,2,1
EPIC-00167,Integrate Partner ingestion job,CAP-0020,Team Orion,R. Kumar,P3,8,2025-08-29,2025-10-05,,46,Not Started,1,0
EPIC-00168,Implement Partner endpoint,CAP-0020,Team Lyra,D. Singh,P0,3,2025-08-14,2025-09-08,2025-09-14,31,Done,9,3
EPIC-00169,Refactor Partner auth flow,CAP-0020,Team Atlas,D. Singh,P0,8,2025-08-14,2025-10-05,,65,In Review,14,4
EPIC-00170,Build Partner event consumer,CAP-0020,Team Draco,M. Patel,P3,5,2025-08-14,2025-10-13,,75,In Progress,10,4
EPIC-00171,Refactor Partner dashboard,CAP-0020,Team Orion,D. Singh,P2,13,2025-08-26,2025-10-10,,56,Not Started,3,1
EPIC-00172,Build Partner event consumer,CAP-0020,Team Lyra,P. Wong,P1,13,2025-08-13,2025-09-19,,46,In Progress,12,2
EPIC-00173,Refactor Notification service,CAP-0021,Team Orion,L. Nguyen,P3,8,2025-08-21,2025-09-29,,48,Blocked,7,2
EPIC-00174,Automate Notification event consumer,CAP-0021,Team Draco,L. Nguyen,P1,13,2025-08-16,2025-10-10,,68,In Progress,5,4
EPIC-00175,Migrate Notification ingestion job,CAP-0021,Team Cygnus,A. Johnson,P2,13,2025-07-12,2025-08-13,,40,Blocked,13,3
EPIC-00176,Automate Notification event consumer,CAP-0021,Team Lyra,M. Patel,P0,13,2025-07-17,2025-08-23,,46,Blocked,4,0
EPIC-00177,Build Notification event consumer,CAP-0021,Team Vega,P. Wong,P1,8,2025-07-10,2025-09-06,2025-09-20,72,Done,11,0
EPIC-00178,Integrate Activation endpoint,CAP-0022,Team Lyra,P. Wong,P3,21,2025-10-01,2025-11-11,2025-11-13,43,Done,10,0
EPIC-00179,Decommission Activation service,CAP-0022,Team Draco,J. Chen,P0,5,2025-10-06,2025-11-12,,39,Blocked,11,4
EPIC-00180,Migrate Activation batch job,CAP-0022,Team Cygnus,L. Nguyen,P3,3,2025-09-25,2025-10-11,2025-10-15,20,Done,13,4
EPIC-00181,Implement Activation dashboard,CAP-0022,Team Phoenix,A. Johnson,P3,8,2025-08-31,2025-10-16,,57,Blocked,10,8
EPIC-00182,Build Activation event consumer,CAP-0022,Team Draco,S. Rai,P3,3,2025-09-29,2025-11-19,,63,In Progress,6,4
EPIC-00183,Build Activation service,CAP-0022,Team Lyra,L. Nguyen,P3,5,2025-08-24,2025-10-23,,75,In Review,5,1
EPIC-00184,Refactor Activation ingestion job,CAP-0022,Team Nova,R. Kumar,P0,3,2025-08-23,2025-10-04,,52,In Review,2,3
EPIC-00185,Integrate Customer service,CAP-0023,Team Cygnus,M. Patel,P2,21,2025-09-16,2025-10-10,,30,Blocked,3,1
EPIC-00186,Build Customer endpoint,CAP-0023,Team Draco,D. Singh,P3,3,2025-09-24,2025-11-02,,48,In Progress,11,1
EPIC-00187,Build Customer auth flow,CAP-0023,Team Vega,R. Kumar,P0,21,2025-08-31,2025-10-08,,47,In Progress,4,0
EPIC-00188,Automate Customer event consumer,CAP-0023,Team Atlas,P. Wong,P0,8,2025-09-07,2025-10-02,,31,In Review,4,2
EPIC-00189,Decommission API ingestion job,CAP-0024,Team Cygnus,P. Wong,P1,8,2025-04-09,2025-05-18,,40,In Review,14,2
EPIC-00190,Integrate API endpoint,CAP-0024,Team Atlas,M. Patel,P3,13,2025-03-21,2025-04-11,,20,In Progress,6,0
EPIC-00191,Decommission API ingestion job,CAP-0024,Team Orion,M. Patel,P3,8,2025-03-28,2025-04-22,,25,In Progress,9,4
EPIC-00192,Migrate API dashboard,CAP-0024,Team Orion,M. Patel,P1,13,2025-04-23,2025-06-04,,43,Not Started,8,2
EPIC-00193,Build API batch job,CAP-0024,Team Nova,J. Chen,P0,5,2025-04-01,2025-05-11,2025-05-13,42,Done,3,3
EPIC-00194,Implement API dashboard,CAP-0024,Team Lyra,P. Wong,P0,21,2025-03-15,2025-05-02,,47,Blocked,12,3
EPIC-00195,Refactor API event consumer,CAP-0024,Team Atlas,A. Johnson,P3,3,2025-04-04,2025-05-11,2025-05-12,38,Done,9,0
